Observed_Temperature,Pct_Canopy,Mean_Elevation,Pct_Water,Pct_Green_Space,BEI_PC1,POINT_X,POINT_Y
84,0.999996667,0.819875776,0,0.999996667,0,351381.197,252313.8397
84,0.700911371,0.801242236,0,1,0.009581397,351479.6223,252313.8397
84,0.379797998,0.813664596,0,0.999996667,0.005057394,351578.0473,252313.8397
84,0.373405577,0.807453416,0.051748453,1,0,351676.4726,252313.8397
84,0.658401302,0.826086957,0.668628057,1,0,351774.898,252313.8397
84,0.243190045,0.819875776,0.998846404,0.999996667,0,351873.323,252313.8397
84,0.145579845,0.844720497,0.97166097,1,0,351971.7483,252313.8397
84,0.991865956,0.850931677,0.429237279,0.999996667,0,352070.1733,252313.8397
84,0.844757184,0.863354037,0.174724096,1,0,352168.5986,252313.8397
84,0.659258306,0.838509317,0.534857319,0.999996667,0,352365.449,252313.8397
84,1,0.844720497,0,1,0,352463.8743,252313.8397
84,0.955049504,0.850931677,0,0.999996667,0.012975502,352562.2993,252313.8397
84.05738115,0.66075815,0.813664596,0,0.690627698,0.012317663,352660.7246,252313.8397
84.95487484,0.111815698,0.832298137,0,0,0.027058192,352759.1499,252313.8397
86.72022093,0.041578145,0.888198758,0,0,0.04773702,350003.2444,252412.265
86,0.344176039,0.875776398,0,0,0.01527503,350101.6694,252412.265
86,0.154331727,0.881987578,0,0,0.020330854,350200.0947,252412.265
86,0.592510071,0.888198758,0,0,0.002852645,350298.5197,252412.265
86,0,0.881987578,0,0,0.012111704,350396.945,252412.265
86,0.346797177,0.888198758,0,0.219851652,0.011887041,350495.3703,252412.265
86,0.999996667,0.881987578,0,0.999513935,0,350593.7953,252412.265
85.63004969,1,0.888198758,0,1,0,350692.2207,252412.265
85.00481864,0.688047929,0.888198758,0.48933148,0.759187692,0,350790.6457,252412.265
85,0.000755002,0.881987578,1,1,0,350889.071,252412.265
85,0,0.888198758,1,1,0,350987.4963,252412.265
84.90689692,0,0.875776398,0.999996667,0.999996667,0,351085.9213,252412.265
84.07376703,0,0.881987578,1,1,0,351184.3467,252412.265
84,0.317526532,0.888198758,0.636958213,0.736822137,0,351282.772,252412.265
84,0.767202352,0.881987578,0,0.999996667,0,351381.197,252412.265
84,0.105243477,0.888198758,0,1,0.011266816,351479.6223,252412.265
84,0,0.894409938,0,0.999996667,0.019965155,351578.0473,252412.265
84,0,0.881987578,0,1,0,351676.4726,252412.265
84,0.118710394,0.881987578,0,1,0,351774.898,252412.265
84,0.594377704,0.888198758,0.047333946,0.999996667,0,351873.323,252412.265
84,0.812823309,0.888198758,0.625710715,1,0,351971.7483,252412.265
84,0.879953993,0.888198758,0.596561283,0.999996667,0,352070.1733,252412.265
84,0.792827245,0.888198758,0.378247617,1,0,352168.5986,252412.265
84,0.437159521,0.888198758,0.761877429,0.999996667,0,352365.449,252412.265
84,1,0.888198758,0,1,0,352463.8743,252412.265
84,0.789430265,0.888198758,0,0.999996667,0.012207799,352562.2993,252412.265
84,0.574819555,0.888198758,0,0.876319628,0.005136875,352660.7246,252412.265
84.60254627,0.249481896,0.888198758,0,0.051826481,0.0212896,352759.1499,252412.265
85.00570215,0.401449021,0.888198758,0,0,0.012714667,352857.5749,252412.265
87.08298995,0.615124616,0.639751553,0,0,0.037161061,349904.819,252510.69
86.74764545,0.823133334,0.633540373,0,0,0.028837687,350003.2444,252510.69
86,0.957325877,0.677018634,0,0,0.01787881,350101.6694,252510.69
86,0.821169505,0.677018634,0,0,0.001801366,350200.0947,252510.69
86,0.082692071,0.645962733,0,0,0.016932226,350298.5197,252510.69
86.00670681,0.064704178,0.645962733,0,0,0.005418036,350396.945,252510.69
86,0.079110381,0.645962733,0,0.033391209,0.018588854,350495.3703,252510.69
86,0.991878166,0.633540373,0,0.873619179,0.000560166,350593.7953,252510.69
85.21145552,0.999996667,0.645962733,0,0.999996667,0,350692.2207,252510.69
85,0.999993333,0.639751553,0.021169248,0.996172905,0,350790.6457,252510.69
85,0.375599163,0.645962733,0.855819628,0.544492694,0,350889.071,252510.69
84.96422343,0,0.639751553,0.999996667,0.999996667,0,350987.4963,252510.69
84.26278712,0,0.645962733,0.999993333,0.999993333,0,351085.9213,252510.69
84,0,0.645962733,0.999996667,0.999996667,0,351184.3467,252510.69
84,0.231635464,0.670807453,0.625120951,0.79505405,0,351282.772,252510.69
84,0.230259785,0.677018634,0,0.999993333,0,351381.197,252510.69
84,0.006265505,0.677018634,0,0.999996667,0.016733295,351479.6223,252510.69
83.99990914,0,0.652173913,0,0.999993333,0.017679268,351578.0473,252510.69
83.74000377,0,0.645962733,0,0.999996667,0,351676.4726,252510.69
