OBJECTID,Elevation_m,Pct_GreenSpace,Pct_Impervious,Pct_Canopy,Distance_from_water_m,POINT_X,POINT_Y
319,22.02,0,82.51,31.22,933.67,349511.1184,263140.6117
321,30.84,0,64.33,50,491.28,358369.3861,275640.612
322,12.73,0,82.66,50,659.98,352168.5986,266388.6433
323,10.41,100,100,40,24.24,342030.803,268357.1472
324,71.67,100,0,96.76,332.62,337207.9681,265699.667
325,52.34,40,9.97,51.44,529.74,354432.3782,276034.3129
326,18.71,100,0,91.95,47.78,351676.4726,254380.769
327,10.95,0,100,50,47.29,353644.9766,280955.5728
328,12.99,0,43.97,61.8,497.94,349215.8427,275739.0373
329,46.94,0,43.68,41.5,750.4,356893.0081,278199.6672
330,27,0,93.87,30,716.19,341637.1023,265207.541
331,13.71,0,87.1,50,276.14,353841.8269,263928.0133
332,24,0,82.08,41.38,1334.97,348034.7401,265699.667
333,14.03,100,29.29,53.93,62.86,353448.1262,278888.6439
334,37.06,0,83.38,50,386.75,341046.551,277805.9666
336,23.63,0,86.16,40,720.78,349609.5434,274656.36
337,21,0,96.46,40,569.88,346656.7875,263042.1864
338,46.17,0,63.89,40,619.35,354530.8035,273967.3837
339,14.01,0,100,40,501.05,352956.0003,264518.5647
341,19.53,0,29.06,83.98,585.23,344589.8582,265601.2416
342,24,0,59.6,40,191.75,343802.4566,275246.9113
343,24.06,0,88.31,30,404.66,350298.5197,272884.7064
344,36,0,20.09,50.79,341.92,341243.4013,277707.5412
345,29.63,6.81,89.73,40,656.34,355318.2052,270916.2025
346,13.73,8.41,24.34,98.8,236.81,360141.0397,273376.8324
347,14.2,0,74.86,50,679.91,352168.5986,265305.966
348,19.24,0,87.37,40,400.86,346066.2362,262254.7847
349,6.63,0,100,30,10.47,343999.3069,268061.8715
350,23,0,83.45,30,1301.94,349018.9924,267077.6196
351,29.26,0,80.66,40,218.55,343015.0549,269439.8245
352,21.38,40,85.74,61.77,451.2,342227.6533,265896.5173
355,4.07,0,100,50,109.22,358664.6617,259302.0288
356,25.07,0,100,40,391.97,338290.6454,268160.2969
357,36.51,0,62.29,73.07,849.33,356696.1578,271998.8797
358,31.61,21.13,43.08,65.48,516.51,357877.2601,276526.4389
359,9.16,0,54.69,30.45,335.72,355908.7562,268553.9979
360,26.77,0,83.39,40,572.35,340062.299,264420.1393
361,47.49,0,70.28,30,548.28,340944.6969,263371.3576
362,24,0,68.42,30,1327.6,348133.1654,265404.3913
363,19.72,40,58.87,48.69,1057.68,350495.3703,266290.2179
365,55.35,0,67.71,50,439.05,339471.7477,277313.8406
366,3.99,0,100,50,133.01,358467.8114,259400.4542
367,56,100,0,50,316.51,338093.7951,275148.486
368,24.19,0,94.87,50,16.78,344103.6033,282130.3582
369,27.01,0,74.24,40,589.56,340160.7243,264420.1393
370,20.69,40,100,30,669.01,349412.693,269144.5488
372,18.85,0,33.8,40,830.26,343605.6062,263829.588
373,23.63,0,81.2,50,635.6,344196.1575,263140.6117
374,44.24,0,45.9,59.56,647.3,337109.5431,266880.7692
375,6.29,0,89.68,50,85.87,359156.7877,270620.9268
376,41.56,0,85.67,40,335.43,346164.6615,276034.3129
377,23.93,0,79.21,30,984.71,346952.0631,264420.1393
378,25.19,0,80.41,33.43,357.23,355219.7799,269242.9742
379,3.27,0,18.35,40,147.44,350101.6694,270719.3521
380,24.03,0,67.72,40,935.42,347247.3388,266979.1946
