OBJECTID,dk_correction
31104,-0.0058606784
30192,-0.003249235
59479,-0.00685133
4343,-0.014512397
22714,-0.0033211703
7774,-0.003962792
18808,-0.008971252
33627,-0.00059263734
25215,0.0013133646
42745,0.0009957799
12114,-0.0037791128
18440,-0.033488862
19751,-0.0018551867
34110,-0.003145441
2473,-0.0006180643
18674,-0.002537779
33308,0.0012320154
39780,-0.00083185313
16678,-0.0016647386
32385,-0.0034776065
44686,0.00063975574
29638,-0.00018526544
3568,0.0003266153
33612,-0.0010481509
50497,-0.00076405285
25023,0.0010448177
1965,-0.025253259
44958,-0.0014264402
17936,-0.005153417
32748,-0.001399212
13801,-0.017659523
2747,-0.002412382
13587,-0.00056599034
39153,-0.0002615112
34526,0.00016031461
29540,-0.0016414761
38924,-0.0025075334
33520,-0.002345936
57390,-0.0016060076
24965,0.0013082498
8950,-0.0001534787
17696,-0.00082740514
21815,3.0383002e-05
26759,-0.004254963
53884,0.0008483152
7532,0.0008650166
3113,0.0009025829
16442,-0.009830624
22840,-0.0009528049
5125,-0.0009091296
43953,-0.002230803
5004,-0.0012564878
32409,-0.0018939986
14233,-0.0019291821
53721,0.0009745094
18517,-0.006220031
17699,-0.0010995897
22004,-0.01105345
29605,-0.006885964
59497,-0.002294592
25599,0.0012282659
2287,-0.00098173
49725,0.00051526865
21499,-0.0032243938
46205,-0.0011486602
35524,0.00012247125
3605,-0.0018232414
33299,-0.0019103098
10512,-0.0009201411
35642,-0.0011917702
25812,-0.0010774317
53082,-0.0061039547
18531,0.0011043032
17436,-8.7240245e-05
48983,0.001281519
3926,-0.001973202
22483,-0.0017587352
1985,-0.0009541181
238,0.000855532
59092,-0.0014012563
2445,-0.0010290495
4702,0.0011261473
48309,0.0006666365
56800,0.0008951337
54055,0.0011809026
21471,-0.0015296186
2744,-0.019350328
25358,-0.0036434452
40217,0.0010520569
36619,-6.508874e-05
40768,-0.0087984875
641,-0.001511592
33285,0.0009036353
31940,-0.0012492002
19718,-0.0009843516
14946,0.008631535
19603,-0.04347869
22813,-0.015666239
17463,-0.0024765073
39375,-0.0010163486
24204,-0.00047459034
6161,-0.003280181
32707,-0.0017768824
39280,-0.002125817
394,-0.005192827
30604,-0.0018238476
55951,-0.001141313
41547,-0.010798745
4493,0.0012519476
28481,-0.00017193006
29410,-0.0051666205
38376,-0.0013048495
53346,-0.0010290542
11567,-0.00078195333
11529,-0.001374559
13498,-0.0013975934
29596,0.00035548536
5330,-0.0029584742
37838,3.021257e-05
26700,-0.0034920122
22504,0.001427853
14760,-0.0010084505
42104,0.0009485907
39592,-0.0033111456
12336,-0.0023785238
3608,-0.0074301804
34199,-0.00062790094
34323,0.0011198088
12459,-0.013592459
34754,-0.0033197752
57840,-0.0034216116
569,0.0001102821
15809,-0.0014539654
26463,-0.0006382507
5069,-0.00032444997
8004,-0.0012277109
21792,-0.0008468344
9077,-0.0010556509
44741,-0.00012202328
35532,-0.004387378
37365,-0.0012101582
9063,-0.0018240358
51778,0.0011539315
15855,-0.0033642794
16081,-3.6863144e-05
15649,-0.0033245771
14561,-0.0014396398
42754,-0.004140045
58141,-0.0002181395
44806,-0.00034645898
6029,-0.00020208722
9916,-0.001429304
6535,-0.0017758063
9273,7.875962e-05
27936,-0.0014673951
51278,-0.0015665418
19093,-0.0060134972
12175,-0.005419865
24851,-0.00018887175
12464,-0.0066768
13170,-0.00076294644
25550,-0.00035485253
9981,0.00015228102
23059,0.000662399
46044,0.00029189745
21005,-0.0014294568
57047,-0.000755209
52472,-0.012789778
13023,-0.005147006
23243,0.008642592
49867,-0.0020714258
21040,-0.0009814706
55212,0.00086830184
41601,-0.0011040452
8854,-0.0044724937
21719,-0.001149233
11161,0.00019566761
14245,0.0008678497
40036,-0.002387687
6428,-0.008899711
17381,-0.005074128
38041,-0.017018743
32114,-0.001393951
50241,-0.0007753442
13426,-0.0009860774
37417,-0.0002692123
13844,-0.0030148565
5661,-0.012696214
772,-0.0010698219
33780,-0.00088065537
1749,-0.001364416
58194,0.00091485353
247,-0.00040129898
13225,0.00026917132
24883,-0.008014709
24404,-0.0061342414
30883,-0.004530988
18266,0.0014654757
345,-0.001811353
25805,0.0011661197
28940,-0.00021116203
23677,-0.004100814
18074,-0.0018786131
38392,-0.0014141365
57010,0.0013137395
27464,-0.0019369819
30823,0.0044663404
1393,-0.022798844
32597,-0.00366806
40662,-0.004872396
14770,0.00096413726
11270,-0.0029119677
43012,-0.013422266
8022,-0.001859575
19458,-0.0023842915
14896,-0.0044602375
27054,-0.0016766856
194,-0.0057602595
34433,-0.0003511957
15973,-0.008248828
12359,-0.001323869
14289,-0.0021859999
2547,-0.017907925
1993,-0.003215672
26574,-0.0008171196
55724,0.00028288225
32775,-0.0039475407
31761,-0.0016994779
59111,-0.0008520107
10191,0.0012558424
55220,8.337898e-05
41912,0.001129041
34036,0.00171537
34370,-0.00039401837
32463,0.00097099366
38930,-0.0012871497
37781,-0.0001483853
7321,0.00083831744
29856,0.0008529769
46762,-0.0003469265
12226,-0.0024619824
9676,-0.0008997503
11285,0.0020373478
26807,-0.0014782087
49927,-0.0018567997
8796,0.0005597598
6497,-0.005711395
37808,0.0009405059
25856,0.0017493856
39876,-0.00075104414
50994,0.00075987633
59223,-0.0074766423
29312,-0.0057929526
39262,-0.0017200042
1964,-0.0010114475
27552,-0.0033358964
29740,-0.00010435423
29706,-0.0020841858
10505,-0.00091178296
