OBJECTID,Temperature,Pct_Canopy_1,Built_Environment_Index,Mean_Elevation,X_Coor,Y_Coor
34729,88,0.067,0.4559908,0.722,296019.6196,4633857.828
26612,87,1,0,0.484,296019.9215,4632837.266
44130,84,0.001,0,0.69,296020.1963,4634908.381
19082,89,0.041,0.5402689,0.611,296020.2289,4631816.705
34975,88,0.024,0.4112162,0.722,296020.4928,4633887.819
26854,87,1,0,0.484,296020.7947,4632867.257
44393,84,0,0,0.706,296021.0698,4634938.372
19283,89,0.779,0.2250874,0.611,296021.1018,4631846.695
35222,88,0.054,0.4792964,0.714,296021.3661,4633917.81
27096,87,0.746,0.0074443,0.484,296021.6678,4632897.248
44656,84,0.046,0,0.706,296021.9432,4634968.362
19484,89,0.023,0,0.611,296021.9748,4631876.686
35472,88,0.193,0.4735172,0.706,296022.2394,4633947.801
27339,87,0,0.4181945,0.5,296022.5409,4632927.239
44918,85,0.25,0,0.722,296022.8167,4634998.353
19686,90,0.156,0.189278,0.611,296022.8478,4631906.677
35729,87,0.038,0.4256502,0.698,296023.1127,4633977.791
27583,87,0.15,0.1703431,0.5,296023.4141,4632957.23
45179,85,0.023,0,0.73,296023.6901,4635028.344
19889,90,0.034,0.6347957,0.611,296023.7208,4631936.668
35988,87,0.07,0.4567313,0.69,296023.986,4634007.782
27828,87,0.263,0,0.524,296024.2872,4632987.221
45439,85,0.998,0,0.754,296024.5636,4635058.335
20093,90,0.058,0.5481183,0.611,296024.5937,4631966.659
36249,87,0.048,0.44263,0.69,296024.8593,4634037.773
28074,88,0.301,0.0915211,0.532,296025.1604,4633017.211
45698,86,0.498,0.2110678,0.754,296025.4371,4635088.326
20297,88,0.07,0.5292032,0.611,296025.4667,4631996.65
36512,87,0.737,0.4471519,0.675,296025.7326,4634067.764
28320,88,0.114,0.4154028,0.548,296026.0335,4633047.202
45956,86,0.38,0.1593956,0.762,296026.3105,4635118.317
20503,88,0.16,0.502161,0.611,296026.3397,4632026.641
36779,87,0.071,0.1850849,0.667,296026.6059,4634097.755
28568,89,0.395,0.5240457,0.548,296026.9067,4633077.193
46213,86,0.803,0.1326837,0.778,296027.184,4635148.307
20709,88,0.172,0.5187461,0.603,296027.2127,4632056.631
37048,87,0.805,0.0341562,0.659,296027.4793,4634127.746
28816,89,0.058,0.4658278,0.548,296027.7798,4633107.184
46468,86,1,0.0560512,0.786,296028.0575,4635178.298
20915,88,0,0.5901089,0.603,296028.0857,4632086.622
37318,87,0.397,0,0.651,296028.3526,4634157.736
29065,89,0.166,0.520638,0.556,296028.653,4633137.175
14441,88,0.054,0.4183934,0.706,296028.815,4631137.436
46722,86,0.094,0.0004379,0.786,296028.931,4635208.289
21122,88,0,0.5628665,0.603,296028.9588,4632116.613
37590,86,0.943,0,0.651,296029.2259,4634187.727
29316,90,0.009,0.5587332,0.563,296029.5262,4633167.166
46976,86,0.259,0.1361869,0.786,296029.8045,4635238.28
21329,88,0,0.5780348,0.603,296029.8318,4632146.604
37864,86,1,0,0.651,296030.0993,4634217.718
29562,90,0.296,0.2374853,0.579,296030.3994,4633197.156
47229,86,0.038,0.0332804,0.786,296030.678,4635268.271
21539,88,0,0.5637994,0.603,296030.7048,4632176.595
38139,86,0.905,0,0.659,296030.9726,4634247.709
14625,88,0.198,0.2544293,0.706,296031.0155,4631156.033
29797,90,0.076,0.4098744,0.595,296031.2725,4633227.147
47481,87,0.008,0.4082727,0.802,296031.5515,4635298.262
21753,88,0.333,0.3567359,0.611,296031.5778,4632206.586
38414,85,0.071,0,0.659,296031.8459,4634277.7
14812,89,0.046,0.540159,0.69,296031.8884,4631186.024
30023,90,0.182,0.4548296,0.611,296032.1457,4633257.138
47732,87,0.193,0.4552247,0.817,296032.425,4635328.252
21970,88,0.369,0.4338055,0.611,296032.4508,4632236.576
38689,85,0,0,0.659,296032.7193,4634307.691
15004,89,0.02,0.3758059,0.675,296032.7613,4631216.015
30250,92,0.52,0.5100781,0.611,296033.0189,4633287.129
47982,87,0.106,0.350265,0.825,296033.2985,4635358.243
22190,89,0.05,0.5877592,0.603,296033.3239,4632266.567
38964,85,0.66,0,0.659,296033.5926,4634337.681
15204,89,0,0.5962834,0.667,296033.6342,4631246.006
30477,93,0.686,0.4645959,0.611,296033.8921,4633317.12
